comment_id,video_id,author_name,author_channel_id,text,likes,published_at,updated_at,is_reply,parent_id,reply_count,scraped_at
Ugz60RI4974EWkViVbF4AaABAg,xwLrHUwGtJM,@esenamdeborah,,"I love this. I just hope for those who are from “hard” homes, it doesn’t entirely shape your view of life and that of your children in a bad way. 
And cheers to everyone finding their foot. Keep believing in you, be tough and let nothing bring you down. You’re at the top ❤",3,2026-03-08T01:39:50.832509+00:00,,0,,0,2026-03-17T22:00:50.411766
UgyMBQd9yb-9JS24rGt4AaABAg,xwLrHUwGtJM,@ErnestinaOwusua-jd1sb,,"I feel so excited and sometimes relieved whenever I watch your show with great men and women such as this learned lady . I am just not inspired , but as you Said  it has digested hope into my Spain , for me to believe in myself , study,work and also fail as it is all part of the journey . Thank you for bringing hope back into our lives and rekindling the light in us. God bless you .",5,2026-03-08T01:39:50.832487+00:00,,0,,0,2026-03-17T22:00:50.410098
UgyQCgZEcE7RNIAkKcR4AaABAg,xwLrHUwGtJM,@SimpleJherph,,Ama Burland always carries a different vibe😂. This is why i love her so much❤🤣.,6,2026-03-08T01:39:50.832479+00:00,,0,,0,2026-03-17T22:00:50.406269
UgynXwH-KQAdBBI5s2h4AaABAg,xwLrHUwGtJM,@filouwgrey,,"Her story is really inspiring, i like her self confidence. I guess i wasn’t the only one who laughed throughout the conversation and didn’t wanted it to end",7,2026-03-08T01:39:50.832438+00:00,,0,,0,2026-03-17T22:00:50.402113
UgyIeLkzv5SBm-U80gx4AaABAg,xwLrHUwGtJM,@adjo4518,,"Your parents other children are your half siblings not your step siblings,step siblings are children your step parents (step mum or step dad) had before marrying your parent.",13,2026-03-08T01:39:50.214728+00:00,,0,,0,2026-03-17T22:00:50.400944
UgwwwuFz9dRv4Wchh1V4AaABAg,xwLrHUwGtJM,@francesaanderson4870,,"Someone should tell this girl,she is intelligent and wise🥰",9,2026-03-08T01:39:50.214707+00:00,,0,,0,2026-03-17T22:00:50.397810
UgzQeNI-tXbdpCKQi-V4AaABAg,xwLrHUwGtJM,@akosua_adu_boahemaa,,"Video editor you are excellent at your work and I admire it .

Can I be your student?
I want to learn your skill.

Thank you konnected mind ❤ for  giving us the best always .",22,2026-03-08T01:39:50.214687+00:00,,0,,0,2026-03-17T22:00:50.398799
UgwUa8AFq5-mtBVfEaF4AaABAg,xwLrHUwGtJM,@reginaldcobbina,,Not me smiling throughout the conversation 😭❤️,28,2026-03-08T01:39:50.214621+00:00,,0,,0,2026-03-17T22:00:50.394419
UgwBXuIfumdeFzigf3t4AaABAg,xwLrHUwGtJM,@emmanuelkoranteng894,,"That thing she said that life is a movie and she's part of the main characters and she believes everything would go well for her, I believe is the game changer. That feeling of belief that everything would go well.",27,2026-03-08T01:39:50.214558+00:00,,0,,0,2026-03-17T22:00:50.392868
UgymV_rzv7L7ftyu2kN4AaABAg,xwLrHUwGtJM,@ianhlomador,,Amazing conversation!,3,2026-03-07T01:39:58.860054+00:00,,0,,0,2026-03-17T22:00:50.557520
UgyMqyd5CU3deeLG7K94AaABAg,xwLrHUwGtJM,@tl.asyelle,,finaalllyyyyyy,0,2026-03-07T01:39:58.858388+00:00,,0,,0,2026-03-17T22:00:50.552519
UgwOiA7a5zO8YAaqTs94AaABAg,xwLrHUwGtJM,@gloriaadjei2333,,You’re so real..Just continue being you🎉🎉,7,2026-03-07T01:39:58.858367+00:00,,0,,0,2026-03-17T22:00:50.551142
UgzYOlW5vE63MLTZgSF4AaABAg,xwLrHUwGtJM,@ireneamekudzi4095,,Faceless 😂😂 wow. It’s really a lot,2,2026-03-07T01:39:58.185787+00:00,,0,,0,2026-03-17T22:00:50.550381
Ugx6Plda7dZl7lxVOjB4AaABAg,xwLrHUwGtJM,@Jenjensa_studios,,"The punch to the lawyers though, I hope it does not come back to hunt her...Lol...because she would definitely need their services at a point being someone who owns businesses. Good content though.",2,2026-03-07T01:39:58.185768+00:00,,0,,0,2026-03-17T22:00:50.549981
Ugz8GcKUJzoQptx75YV4AaABAg,xwLrHUwGtJM,@_loislarbi,,Rushed here 😍,7,2026-03-07T01:39:58.185729+00:00,,0,,0,2026-03-17T22:00:50.549412
UgycqeBn2AFaGpbMk_14AaABAg,xwLrHUwGtJM,@AngelimaAmoako,,❤❤❤❤🎉,0,2026-03-07T01:39:58.185621+00:00,,0,,0,2026-03-17T22:00:50.547404
UgzchIzKjV6bOF4vn3h4AaABAg,xwLrHUwGtJM,@bigmama5048,,AS FOR THIS NIGERIANS ARE AHEAD OF GH THE AMOUNT OF MONEY BEING MADE IT MINDBLOWING,3,2026-03-07T01:39:58.185589+00:00,,0,,0,2026-03-17T22:00:50.546813
UgxLuVYgvbSPtHcVrlR4AaABAg,xwLrHUwGtJM,@euniceafrifa3486,,❤❤❤,0,2026-03-07T01:39:58.185561+00:00,,0,,0,2026-03-17T22:00:50.545783
Ugzs_tFYpITL6DOdWil4AaABAg,xwLrHUwGtJM,@mercymensah7584,,"Hi am Efae and I have the resources 
I need the an advice on how to push my business forward",1,2026-03-07T01:39:58.185485+00:00,,0,,0,2026-03-17T22:00:50.542553
UgyTNtV6R1OJX9UwxJZ4AaABAg,xwLrHUwGtJM,@wondertsigbey,,❤❤❤,4,2026-03-07T01:39:58.185465+00:00,,0,,0,2026-03-17T22:00:50.542122
UgwQipBRlaif44QM-ah4AaABAg,xwLrHUwGtJM,@Eunice-q4c7p,,She's so smart...like,0,2026-03-07T01:39:57.467778+00:00,,0,,0,2026-03-17T22:00:50.536779
Ugxm080QCz8mF0dJoxF4AaABAg,xwLrHUwGtJM,@octaviaamoabeng4738,,I made it to the end 🎉,0,2026-03-07T01:39:57.467717+00:00,,0,,0,2026-03-17T22:00:50.533290
Ugw2ZLi-rybNmr9Y1hN4AaABAg,xwLrHUwGtJM,@protectivehairstyles_lifestyle,,I love this,0,2026-03-07T01:39:57.467673+00:00,,0,,0,2026-03-17T22:00:50.530090
UgyU0uWHrlgkRz-bH8J4AaABAg,xwLrHUwGtJM,@EsegbeAble,,I really enjoyed this interview. I'll be on this platform one day,0,2026-03-07T01:39:57.467370+00:00,,0,,0,2026-03-17T22:00:50.523073
UgwPeypsvt6kTNFFBIV4AaABAg,xwLrHUwGtJM,@GraceFidel,,Please interview BEfitting GHANA is a fashion brand ❤,0,2026-03-07T01:39:56.852090+00:00,,0,,0,2026-03-17T22:00:50.539771
Ugz3oGHvNfiDcScETfR4AaABAg,xwLrHUwGtJM,@adomaserwaa572,,"1:16:38 I read faceless in jhs, it was for a friend and I had to buy one for myself for keeps",0,2026-03-07T01:39:56.852084+00:00,,0,,0,2026-03-17T22:00:50.538942
Ugz4Y83P0WTkuziLr5N4AaABAg,xwLrHUwGtJM,@harddark569,,@23:01 the word is LIBERATING. I pray everyone gets money,1,2026-03-07T01:39:56.852068+00:00,,0,,0,2026-03-17T22:00:50.538125
Ugx2ckt-weoPLcm9DCF4AaABAg,xwLrHUwGtJM,@Eunice-q4c7p,,I made it to the end 🥹😭🥹,1,2026-03-07T01:39:56.852057+00:00,,0,,0,2026-03-17T22:00:50.522336
UgzAOfvVQrgliBJQtpJ4AaABAg,xwLrHUwGtJM,@CelestinaTetteh-n9l,,Princess would always find a way to make you laugh 😂,14,2026-03-07T01:39:56.852037+00:00,,0,,0,2026-03-17T22:00:50.545371
Ugwws72YaNNRd3pRQ-94AaABAg,xwLrHUwGtJM,@Franchescaasamoah3046,,Very intelligent free spirit girl ❤. Her personality is so beautiful ❤,7,2026-03-07T01:39:56.852031+00:00,,0,,0,2026-03-17T22:00:50.550752
