id,video_id,author_name,author_username,description,timestamp,likes,comments_count,shares,views,bookmarks,video_url,music_title,hashtags,source,scraped_at
56,7242745814647360795,eddypizzaa,eddypizzaa,,,0,0,0,0,0,https://www.tiktok.com/@eddypizzaa/video/7242745814647360795,,,hashtag_eddyspizza,2026-03-14T12:39:07.571960
57,7252719120288976154,eddypizzaa,eddypizzaa,,,0,0,0,0,0,https://www.tiktok.com/@eddypizzaa/video/7252719120288976154,,,hashtag_eddyspizza,2026-03-14T12:59:19.436501
62,7574058338770554123,eddyspizzaofficial,eddyspizzaofficial,,,0,0,0,0,0,https://www.tiktok.com/@eddyspizzaofficial/video/7574058338770554123,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.409510
78,7558460519452101944,eddyspizzaofficial,eddyspizzaofficial,,,0,0,0,0,0,https://www.tiktok.com/@eddyspizzaofficial/video/7558460519452101944,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.423245
87,7591114103523904824,eddyspizzaofficial,eddyspizzaofficial,,,0,0,0,0,0,https://www.tiktok.com/@eddyspizzaofficial/video/7591114103523904824,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.437822
89,7252806773403405595,eddyspizza_2023,eddyspizza_2023,,,0,0,0,0,0,https://www.tiktok.com/@eddyspizza_2023/video/7252806773403405595,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.437210
90,7531056866340637974,eddyspizza_2023,eddyspizza_2023,,,0,0,0,0,0,https://www.tiktok.com/@eddyspizza_2023/video/7531056866340637974,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.442405
94,7587407894258240824,eddyspizzaofficial,eddyspizzaofficial,,,0,0,0,0,0,https://www.tiktok.com/@eddyspizzaofficial/video/7587407894258240824,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.440075
100,7577581471087545607,eddys.pizza,eddys.pizza,,,0,0,0,0,0,https://www.tiktok.com/@eddys.pizza/video/7577581471087545607,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.449284
103,7279480593081961733,pizzaeddys,pizzaeddys,,,0,0,0,0,0,https://www.tiktok.com/@pizzaeddys/video/7279480593081961733,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.450775
104,7561222384217296140,pizzadeddy,pizzadeddy,,,0,0,0,0,0,https://www.tiktok.com/@pizzadeddy/video/7561222384217296140,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.451614
112,7019247591737150726,cheezzypizza,cheezzypizza,"Cheezzy Pizza is the real deal @okyeamekwame1 #Accra #Ghana #CheezzyPizza

cheezzypizza

2021-10-15",,0,0,0,234,0,https://www.tiktok.com/@cheezzypizza/video/7019247591737150726,,#Accra #Ghana #CheezzyPizza,search,2026-03-14T09:13:04.431975
113,7602700201186446610,pizzavellagh,pizzavellagh,"Cheesy, saucy, and baked to perfection. This is your sign to order pizza today

pizzavellagh

2-3",,0,0,0,51,0,https://www.tiktok.com/@pizzavellagh/video/7602700201186446610,,,search,2026-03-14T09:13:04.432762
118,7584884433266674964,juspizzaghana,juspizzaghana,"Tag that friend — they owe you a box of pizza this festive season.

juspizzaghana

2025-12-17",,0,0,0,76,0,https://www.tiktok.com/@juspizzaghana/video/7584884433266674964,,,search,2026-03-14T09:13:04.435375
120,7584591910631722296,ohema_princesz,ohema_princesz,"I wouldn’t lie to you ☺️try@Pizza World and thank me later Every Tuesday too they give you offers you buy two Shawarma and get one freeeee#fyp #foryoupage #viraltiktok #food #ghanatiktok🇬🇭

ohema_princesz

2025-12-16",,0,0,0,156,0,https://www.tiktok.com/@ohema_princesz/video/7584591910631722296,,#fyp #foryoupage #viraltiktok #food #ghanatiktok,search,2026-03-14T09:13:04.436375
122,7531745860623813893,eatingwithmabs,eatingwithmabs,"Just when I thought I had seen it all in Accra, I found the largest pizza in Accra. 📍 La Piazza — a new Italian restaurant tucked in Osu and affiliated with the popular gelato spot, @pinocchio.en 🍕🍨🇮🇹

eatingwithmabs

2025-7-27",,0,0,0,546,0,https://www.tiktok.com/@eatingwithmabs/video/7531745860623813893,,,search,2026-03-14T09:13:04.437282
153,7424598910011739397,pizzaeddys,pizzaeddys,,,0,0,0,0,0,https://www.tiktok.com/@pizzaeddys/video/7424598910011739397,,,hashtag_eddyspizza,2026-03-14T09:15:44.329373
165,7577160721054633234,eddys.pizza,eddys.pizza,,,0,0,0,0,0,https://www.tiktok.com/@eddys.pizza/video/7577160721054633234,,,hashtag_eddyspizza,2026-03-14T12:59:19.452344
220,7605915561721187592,eddyspizzaofficial,eddyspizzaofficial,"Love is in the air… and so is the smell of fresh pizza! ❤️🍕

eddyspizzaofficial

2-12",,0,0,0,3427,0,https://www.tiktok.com/@eddyspizzaofficial/video/7605915561721187592,,,search,2026-03-14T12:36:24.141814
221,7605342259885739284,official_prempeh,official_prempeh,"Place your order @Pizza City Ghana through this number: 0247000746 be 14th febuary#tiktokghana🇬🇭 #funnyvideos #comedyvideo #voiceover #pizzacity

official_prempeh

2-10",,0,0,0,5656,0,https://www.tiktok.com/@official_prempeh/video/7605342259885739284,,#tiktokghana #funnyvideos #comedyvideo #voiceover #pizzacity,search,2026-03-14T12:36:24.142419
222,7616670656612109588,dark_chocolateee,dark_chocolateee,"You’re definitely allowed to switch with @Bigslice !! You can get pizza by the slice so you can taste as many options as you want without having to get the entire box!!! Cool right?🙂‍↕️

dark_chocolateee

1d ago",,0,0,0,96,0,https://www.tiktok.com/@dark_chocolateee/video/7616670656612109588,,,search,2026-03-14T12:36:24.142931
223,7525148492411555094,kwame_booker,kwame_booker,"Pizza City saved me today 😂 visit them this Friday and Saturday ❤️‍🔥 @Pizza City Ghana

kwame_booker

2025-7-9",,0,0,0,18100,0,https://www.tiktok.com/@kwame_booker/video/7525148492411555094,,,search,2026-03-14T12:36:24.143477
224,7340666620596997381,papaspizzagh,papaspizzagh,"This cracked us up 😂 @mightyoseiasibey and his mum are always a vibe👏

papaspizzagh

2024-2-28",,0,0,0,416,0,https://www.tiktok.com/@papaspizzagh/video/7340666620596997381,,,search,2026-03-14T12:36:24.143942
225,6966172906191588614,cheezzypizza,cheezzypizza,"McCheezzy Combo: 1 Pizza, + Fries with Chicken + Coke. Only Ghc 49.00 #Ghana #Pizza #Food #Accra #McCheezzyCombo

cheezzypizza

2021-5-25",,0,0,0,80,0,https://www.tiktok.com/@cheezzypizza/video/6966172906191588614,,#Ghana #Pizza #Food #Accra #McCheezzyCombo,search,2026-03-14T12:36:24.144418
226,7578439641053809976,juspizzaghana,juspizzaghana,"Fresh, hot, and loaded — our pizza pie is always a good idea.

juspizzaghana

2025-11-30",,0,0,0,291,0,https://www.tiktok.com/@juspizzaghana/video/7578439641053809976,,,search,2026-03-14T12:36:24.145019
228,7457199534872071429,aboudefastfood,aboudefastfood,"Aboude Pizza Promo!!!🫰 Buy one pizza this Wednesday and get one for FREEEE🤭 #aboudefastfood #creatorsearchinsights #foodietok #pizzapromo #favoritefastfood #tiktokghana🇬🇭 #trendingrestaurant #pizza #relatable #fyppppppppppppppppppppppp

aboudefastfood

2025-1-7",,0,0,0,981,0,https://www.tiktok.com/@aboudefastfood/video/7457199534872071429,,#aboudefastfood #creatorsearchinsights #foodietok #pizzapromo #favoritefastfood #tiktokghana #trendingrestaurant #pizza #relatable #fyppppppppppppppppppppppp,search,2026-03-14T12:36:24.146158
311,7323335919824653601,eddys.pizza.pe.va,eddys.pizza.pe.va,,,0,0,0,0,0,https://www.tiktok.com/@eddys.pizza.pe.va/video/7323335919824653601,,,hashtag_eddyspizzagh,2026-03-14T12:59:19.441080
